Purpura and other hemorrhagic conditions,"Pneumonia, organism unspecified",1.0
Septicemia,General symptoms,0.6666666666666666
"Pneumonia, organism unspecified",Acute kidney failure,0.6666666666666666
"Pneumonia, organism unspecified",Other disorders of gallbladder,0.6666666666666666
"Pneumonia, organism unspecified",Chronic kidney disease (ckd),0.6666666666666666
"Pneumonia, organism unspecified",Cholelithiasis,0.6666666666666666
Purpura and other hemorrhagic conditions,Other ill-defined and unknown causes of morbidity and mortality,0.5
Cholelithiasis,General symptoms,0.5
Septicemia,Cardiac dysrhythmias,0.5
Other disorders of gallbladder,General symptoms,0.5
Acute kidney failure,General symptoms,0.5
Purpura and other hemorrhagic conditions,Other alveolar and parietoalveolar pneumonopathy,0.5
Chronic kidney disease (ckd),General symptoms,0.5
Chronic kidney disease (ckd),Other ill-defined and unknown causes of morbidity and mortality,0.3333333333333333
Cardiac dysrhythmias,Acute kidney failure,0.3333333333333333
Purpura and other hemorrhagic conditions,Acute myocardial infarction,0.3333333333333333
Cholelithiasis,Other ill-defined and unknown causes of morbidity and mortality,0.3333333333333333
Acute kidney failure,Other ill-defined and unknown causes of morbidity and mortality,0.3333333333333333
Asthma,General symptoms,0.3333333333333333
Pneumonitis due to solids and liquids,Chronic kidney disease (ckd),0.3333333333333333
Other alveolar and parietoalveolar pneumonopathy,Acute kidney failure,0.3333333333333333
Pneumonitis due to solids and liquids,Acute kidney failure,0.3333333333333333
Acute myocardial infarction,Other diseases of lung,0.3333333333333333
"Depressive disorder, not elsewhere classified",Pneumonitis due to solids and liquids,0.3333333333333333
Epilepsy and recurrent seizures,"Pneumonia, organism unspecified",0.3333333333333333
Septicemia,Epilepsy and recurrent seizures,0.3333333333333333
Purpura and other hemorrhagic conditions,Heart failure,0.3333333333333333
Other alveolar and parietoalveolar pneumonopathy,Other disorders of gallbladder,0.3333333333333333
Other disorders of gallbladder,Other ill-defined and unknown causes of morbidity and mortality,0.3333333333333333
Other alveolar and parietoalveolar pneumonopathy,Chronic kidney disease (ckd),0.3333333333333333
Septicemia,Acute myocardial infarction,0.3333333333333333
"Depressive disorder, not elsewhere classified","Pneumonia, organism unspecified",0.3333333333333333
Hypotension,Certain adverse effects not elsewhere classified,0.3333333333333333
Pneumonitis due to solids and liquids,Other disorders of gallbladder,0.3333333333333333
Asthma,Other alveolar and parietoalveolar pneumonopathy,0.3333333333333333
Disorders of fluid electrolyte and acid-base balance,Certain adverse effects not elsewhere classified,0.3333333333333333
Heart failure,Other diseases of lung,0.3333333333333333
Cardiac dysrhythmias,"Pneumonia, organism unspecified",0.3333333333333333
Cardiac dysrhythmias,Cardiac dysrhythmias,0.3333333333333333
Other alveolar and parietoalveolar pneumonopathy,Cholelithiasis,0.3333333333333333
Septicemia,Pneumonitis due to solids and liquids,0.3333333333333333
Septicemia,Heart failure,0.3333333333333333
Pneumonitis due to solids and liquids,Cholelithiasis,0.3333333333333333
Epilepsy and recurrent seizures,Other alveolar and parietoalveolar pneumonopathy,0.16666666666666666
Septicemia,Multiple myeloma and immunoproliferative neoplasms,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,Essential hypertension,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,General symptoms,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,Symptoms involving cardiovascular system,0.16666666666666666
Essential hypertension,Heart failure,0.16666666666666666
Other alveolar and parietoalveolar pneumonopathy,Other ill-defined and unknown causes of morbidity and mortality,0.16666666666666666
Acute pulmonary heart disease,Other ill-defined and unknown causes of morbidity and mortality,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,Pneumonitis due to solids and liquids,0.16666666666666666
Heart failure,Other disorders of gallbladder,0.16666666666666666
Gastrointestinal hemorrhage,Symptoms involving respiratory system and other chest symptoms,0.16666666666666666
Essential hypertension,Acute myocardial infarction,0.16666666666666666
Cardiac dysrhythmias,Pneumonia due to other specified organism,0.16666666666666666
Other diseases of lung,Other diseases of lung,0.16666666666666666
Cholelithiasis,Gastrointestinal hemorrhage,0.16666666666666666
Essential hypertension,Other diseases of lung,0.16666666666666666
Cardiac dysrhythmias,Other ill-defined and unknown causes of morbidity and mortality,0.16666666666666666
Hypotension,"Pneumonia, organism unspecified",0.16666666666666666
Chronic bronchitis,Other diseases of lung,0.16666666666666666
Hypotension,General symptoms,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,Other alveolar and parietoalveolar pneumonopathy,0.16666666666666666
Purpura and other hemorrhagic conditions,Chronic bronchitis,0.16666666666666666
General symptoms,General symptoms,0.16666666666666666
Other diseases of lung,Other disorders of urethra and urinary tract,0.16666666666666666
Other forms of chronic ischemic heart disease,Chronic kidney disease (ckd),0.16666666666666666
